CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
323;309;53.964.227/0001-13;SUPERMERCADO A. LUZITANA IND. COM. LTDA.;RO;57.914.358;2;22;2.510;203;2.632.471;23.073;285.292;9;8;11;114;1.255;28.957.179;
324;310;04.306.315/0001-12;SUPERMERCADOS TRÊS JOTA - EIRELI.;SP;57.153.562;5;26;2.603;188;2.198.214;21.957;304.008;7;7;5;100;521;11.430.712;
325;322;36.305.837/0001-96;SUPERMERCADO CELEIRO LTDA.;ES;57.137.889;2;24;3.000;180;2.380.745;19.046;317.433;8;6;12;125;1.500;28.568.945;
326;337;60.333.481/0001-89;OFÉLIA SARRI MORETE.;SP;57.001.693;2;18;4.000;143;3.166.761;14.250;398.613;8;4;9;222;2.000;28.500.847;
327;348;04.864.165/0001-62;SACOLÃO SUPERMERCADO LTDA.;MG;56.895.327;5;24;2.900;253;2.370.639;19.619;224.883;11;9;5;121;580;11.379.065;
328;324;10.456.438/0001-32;ALMB COMÉRCIO DE ALIMENTOS LTDA. - ME.;GO;56.835.225;1;13;2.800;99;4.371.940;20.298;574.093;8;4;13;215;2.800;56.835.225;
329;novo;11.747.890/0001-16;CENTRAL DA ECONOMIA MINIMERCADO LTDA.;PB;56.780.000;4;25;3.130;225;2.271.200;18.141;252.356;9;7;6;125;783;14.195.000;
330;379;13.086.046/0001-17;PRADO VASCONCELOS LTDA.;SE;56.687.133;4;31;2.600;138;1.828.617;21.803;410.776;4;5;8;84;650;14.171.783;
331;785;04.738.857/0001-64;SUPERMERCADO DUARTE LTDA.;MS;56.646.686;5;26;2.800;158;2.178.719;20.231;358.523;6;6;5;108;560;11.329.337;
332;692;71.814.511/0001-95;MERCADO EXPEDITA ISIDORO LTDA. - ME.;SP;56.000.000;4;19;1.690;150;2.947.368;33.136;373.333;8;9;5;89;423;14.000.000;
333;326;15.534.654/0001-72;MERCADO PAG POKO LTDA.;MS;55.522.122;5;24;3.300;140;2.313.422;16.825;396.587;6;4;5;138;660;11.104.424;
334;331;04.698.507/0001-11;SUPERMERCADO BERTAGNOLLI LTDA.;RS;54.470.013;3;23;2350;145;2.368.261;23.179;375.655;6;6;8;102;783;18.156.671;
335;340;07.678.203/0001-80;SUPERMERCADOS CELEIRO LTDA.;RJ;54.442.210;2;18;1.580;170;3.024.567;34.457;320.248;9;11;9;88;790;27.221.105;
336;795;02.990.020/0001-82;LEMOS SUPERMERCADO LTDA.;PE;54.134.207;1;11;900;80;4.921.292;60.149;676.678;7;9;11;82;900;54.134.207;
337;359;35.298.306/0001-50;P. N. COMERCIAL LTDA.;RN;54.000.504;3;22;1.850;138;2.454.568;29.189;391.308;6;7;7;84;617;18.000.168;
338;325;01.396.676/0001-09;SUPERMERCADO SCHWALM LTDA.;RS;53.760.347;2;23;2.450;184;2.337.406;21.943;292.176;8;8;12;107;1.225;26.880.174;
339;345;02.994.986/0001-98;SUPERMERCADO MOMBACH LTDA.;RS;53.461.485;3;21;2.100;190;2.545.785;25.458;281.376;9;9;7;100;700;17.820.495;
340;320;34.707.687/0001-11;MERCANTIL SÃO SEBASTIÃO IMP. EXP. LTDA.;AC;53.160.842;1;13;5.000;126;4.089.296;10.632;421.911;10;3;13;385;5.000;53.160.842;
341;novo;90.120.007/0001-30;IRMÃOS LINKE CIA. LTDA.;RS;52.782.920;3;36;4.600;250;1.466.192;11.475;211.132;7;5;12;128;1.533;17.594.307;
342;novo;05.218.856/0001-51;COMERCIAL DE ALIM. SERRA LTDA.;RS;52.319.713;3;21;2.100;122;2.491.415;24.914;428.850;6;6;7;100;700;17.439.904;
343;350;89.918.338/0001-30;FRANCK F. MULLER SUPERMERCADOS - EIRELI.;RS;51.441.233;5;31;4.800;167;1.659.395;10.717;308.031;5;3;6;155;960;10.288.247;
344;328;04.709.948/0001-71;JUCÉLIO COSTA DE ARAÚJO.;PB;51.000.000;2;16;2.000;115;3.187.500;25.500;443.478;7;6;8;125;1.000;25.500.000;
345;334;93.472.702/0001-59;SUPERMERCADO FRASSUL LTDA.;RS;50.921.572;6;26;4.050;101;1.958.522;12.573;504.174;4;2;4;156;675;8.486.929;
346;323;02.354.197/0001-92;BRUNETTO COMERCIAL ALIM. LTDA.;RS;50.900.000;1;17;1.500;140;2.994.118;33.933;363.571;8;9;17;88;1.500;50.900.000;
347;330;94.015.716/0001-06;SUPERMERCADO GAUCHÃO LTDA.;RS;50.625.423;1;16;845;133;3.164.089;59.912;380.642;8;16;16;53;845;50.625.423;
348;novo;07.650.319/0001-01;MOCELLIN COMÉRCIO.;RS;50.000.000;23;98;4.025;325;510.204;12.422;153.846;3;8;4;41;175;2.173.913;
349;343;37.532.249/0001-58;BENFÍCA SUPERMERCADOS LTDA.;MS;49.985.000;1;9;2.000;95;5.553.889;24.993;526.158;11;5;9;222;2.000;49.985.000;
350;338;73.738.056/0001-11;SUPERMERCADO MACLIV LTDA.;PR;49.354.401;1;13;1.500;140;3.796.492;32.903;352.531;11;9;13;115;1.500;49.354.401;
351;327;17.746.833/0001-07;G.H.S. MARTINS SUPERMERCADO - EIRELI.;AL;49.000.000;5;16;4.400;120;3.062.500;11.136;408.333;8;3;3;275;880;9.800.000;
352;349;89.305.239/0001-83;COOPERATIVA DÁLIA ALIMENTOS LTDA. ;RS;48.909.840;2;18;2.700;160;2.717.213;18.115;305.687;9;6;9;150;1.350;24.454.920;
353;344;04.522.177/0001-09;SUPERMERCADOS GUERRA E BRETAS LTDA.;MG;48.245.633;2;16;2.200;115;3.015.352;21.930;419.527;7;5;8;138;1.100;24.122.817;
354;369;75.774.034/0001-32;J.C.C MIRANDA & CIA. LTDA.;PR;48.226.661;3;30;4.000;150;1.607.555;12.057;321.511;5;4;10;133;1.333;16.075.554;
355;364;00.647.721/0001-98;JEFFERSON CARLOS LUCAS & CIA. LTDA.;SP;48.204.000;1;16;3.200;115;3.012.750;15.064;419.165;7;4;16;200;3.200;48.204.000;
356;346;14.805.543/0001-90;CRID ALIMENTOS LTDA.;BA;48.075.323;1;13;960;106;3.698.102;50.078;453.541;8;11;13;74;960;48.075.323;
357;407;80.359.466/0001-17;COM. GEN. ALIM. TAWEARLI LTDA.;PR;47.535.029;4;33;3.700;120;1.440.455;12.847;396.125;4;3;8;112;925;11.883.757;
358;361;02.086.040/0001-23;SUPERMERCADOS BURGOS & CIA. LTDA.;SP;47.151.744;2;7;1.700;148;6.735.963;27.736;318.593;21;9;4;243;850;23.575.872;
359;novo;24.945.386/0001-72;A. I. ALMEIDA DE MELO.;CE;47.000.000;6;40;2.700;220;1.175.000;17.407;213.636;6;8;7;68;450;7.833.333;
360;366;16.501.066/0001-03;COOPERATIVA DE CONSUMO DOS MORADORES DA REGIÃO DOS INCONFIDENTES LTDA.;MG;46.571.000;1;15;2.070;152;3.104.733;22.498;306.388;10;7;15;138;2.070;46.571.000;
361;444;04.237.005/0001-93;COMERCIAL SAMY LTDA.;RS;46.532.734;2;16;1.800;127;2.908.296;25.852;366.399;8;7;8;113;900;23.266.367;
362;novo;36.004.034/0001-00;COMERCIAL GLICIA LTDA.;ES;46.519.147;1;7;700;62;6.645.592;66.456;750.309;9;9;7;100;700;46.519.147;
363;342;38.030.151/0001-65;COMERCIAL DE FRUTAS E VERDURAS CANTEIROS LTDA. - ME.;DF;46.000.000;2;13;1.050;110;3.538.462;43.810;418.182;8;10;7;81;525;23.000.000;
364;353;05.797.331/0001-18;SUPER G DISTRIBUIDORA DE PRODUTOS ALIMENTÍCIOS LTDA.;SP;45.240.814;2;18;1.800;110;2.513.379;25.134;411.280;6;6;9;100;900;22.620.407;
365;354;00.112.227/0001-29;GONÇALVES GARCIA LTDA.;GO;45.055.729;2;22;4.760;180;2.047.988;9.465;250.310;8;4;11;216;2.380;22.527.865;
366;novo;73.770.067/0001-89;FREITAS SUPERMERCADO LTDA.;CE;45.000.000;2;18;1.800;170;2.500.000;25.000;264.706;9;9;9;100;900;22.500.000;
367;365;89.467.773/0001-96;M. F. GOMES CIA. LTDA.;RS;44.723.000;2;21;2.800;127;2.129.667;15.973;352.150;6;5;11;133;1.400;22.361.500;
368;351;25.734.641/0001-09;SUPERMERCADO E MOBILIADORA NOVA ERA LTDA.;MG;44.539.906;1;11;640;150;4.049.082;69.594;296.933;14;23;11;58;640;44.539.906;
369;374;73.101.073/0001-43;MALUCHO & MALUCHO LTDA.;SP;44.432.177;3;28;2.700;140;1.586.863;16.456;317.373;5;5;9;96;900;14.810.726;
370;360;01.212.228/0001-08;COMERCIAL ALIMENTOS SUPER DAVI LTDA.;RS;44.413.394;1;10;1.000;82;4.441.339;44.413;541.627;8;8;10;100;1.000;44.413.394;
371;426;90.951.005/0001-92;RUBEN BOFF DAMIAN & CIA. LTDA. - ME.;RS;44.254.986;2;20;1.860;131;2.212.749;23.793;337.824;7;7;10;93;930;22.127.493;
372;402;13.531.752/0002-01;TRINDADE & SEHN LTDA. - ME.;RS;44.000.000;2;14;3.200;95;3.142.857;13.750;463.158;7;3;7;229;1.600;22.000.000;
373;395;05.000.478/0001-35;REAL SUPERMERCADO COMÉRCIO VAREJISTA DE ALIMENTOS LTDA. - ME.;PB;43.880.597;3;16;1.075;84;2.742.537;40.819;522.388;5;8;5;67;358;14.626.866;
374;358;03.212.385/0001-49;IGUATEMI ALIMENTOS LTDA.;SC;43.259.108;3;26;3.800;200;1.663.812;11.384;216.296;8;5;9;146;1.267;14.419.703;
375;355;62.857.990/0001-36;SUPERMERCADO CARIOCA LTDA.;SP;43.000.000;3;25;1.000;100;1.720.000;43.000;430.000;4;10;8;40;333;14.333.333;
376;362;91.022.632/0008-88;COOPERATIVA AGRÍCOLA MISTA NOVA PALMA LTDA.;RS;42.964.846;4;16;3.000;106;2.685.303;14.322;405.329;7;4;4;188;750;10.741.212;
377;385;91.360.420/0001-34;COOPERATIVA DOS SUINOCULTORES DO CAI SUPERIOR LTDA.;RS;42.231.060;3;13;2.200;101;3.248.543;19.196;418.129;8;5;4;169;733;14.077.020;
378;394;02.982.404/0001-53;SUPERMERCADO JOSÉ SILVA LTDA.;MG;42.000.000;3;16;2.000;117;2.625.000;21.000;358.974;7;6;5;125;667;14.000.000;
379;367;00.323.326/0001-50;SUPERMERCADO PORTAPRATA LTDA.;RS;41.903.361;1;14;2.300;80;2.993.097;18.219;523.792;6;3;14;164;2.300;41.903.361;
380;375;03.628.651/0001-19;J.B.T. COMÉRCIO DE ALIMENTOS LTDA.;PR;41.821.020;1;13;1.100;97;3.217.002;38.019;431.145;7;9;13;85;1.100;41.821.020;
381;373;83.567.131/0001-82;SUPERMERCADO ZABOT LTDA.;SC;41.606.875;3;20;2.000;98;2.080.344;20.803;424.560;5;5;7;100;667;13.868.958;
382;424;08.679.814/0001-06;LÍDER COMÉRCIO E INDÚSTRIA DE ALIMENTOS - EIRELI.;MS;41.035.116;4;25;2.110;138;1.641.405;19.448;297.356;6;7;6;84;528;10.258.779;
383;357;97.506.455/0001-15;COAGRISOL COOPERATIVA AGROINDUSTRIAL.;RS;40.531.445;7;36;5.540;138;1.125.873;7.316;293.706;4;2;5;154;791;5.790.206;
384;381;02.688.247/0001-78;BOM MERCADO COM. ALIM. LTDA.;RS;40.000.000;3;22;2.890;150;1.818.182;13.841;266.667;7;5;7;131;963;13.333.333;
385;408;17.257.815/0001-53;PARATY SUPERMERCADOS LTDA.;CE;39.830.000;5;40;2.630;268;995.750;15.144;148.619;7;10;8;66;526;7.966.000;
386;376;87.147.526/0001-87;PEDRO MACCARI E IRMÃOS LTDA.;RS;39.801.610;1;8;1.000;55;4.975.201;39.802;723.666;7;6;8;125;1.000;39.801.610;
387;391;78.016.086/0001-38;SUPERMERCADO 88 LTDA.;PR;39.554.993;1;8;1.000;65;4.944.374;39.555;608.538;8;7;8;125;1.000;39.554.993;
388;454;01.002.727/0001-70;RUBENICH E CREMONESE LTDA.;RS;39.154.000;2;15;1.700;82;2.610.267;23.032;477.488;5;5;8;113;850;19.577.000;
389;386;87.710.513/0001-74;SUPERMERCADO BERTUOL LTDA.;RS;39.000.000;1;9;2.000;90;4.333.333;19.500;433.333;10;5;9;222;2.000;39.000.000;
390;409;80.456.585/0001-98;SUPERMERCADO TREVISO LTDA.;SC;39.000.000;2;23;3.100;80;1.695.652;12.581;487.500;3;3;12;135;1.550;19.500.000;
391;382;08.507.404/0001-88;MINARE COMÉRCIO DE ALIMENTOS LTDA.;MG;38.969.765;1;12;980;73;3.247.480;39.765;533.832;6;7;12;82;980;38.969.765;
392;427;05.216.887/0001-73;L.L.W.X. COMÉRCIO DE ALIMENTOS - EIRELI.;RS;38.674.907;3;14;2.200;72;2.762.493;17.580;537.151;5;3;5;157;733;12.891.636;
393;370;05.348.350/0001-67;BATISTA, QUADROS & CIA LTDA.;MS;38.348.862;1;14;1.500;93;2.739.204;25.566;412.353;7;6;14;107;1.500;38.348.862;
394;371;00.291.066/0001-88;V.M.J. COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA.;TO;38.236.443;1;12;4.000;120;3.186.370;9.559;318.637;10;3;12;333;4.000;38.236.443;
395;431;23.037.203/0001-58;HILÁRIO JOSÉ WEILLER - EPP.;AM;38.081.526;2;17;2.433;108;2.240.090;15.652;352.607;6;4;9;143;1.217;19.040.763;
396;396;53.332.185/0001-06;SUPERMERCADO BLENTAN LTDA.;SP;37.704.889;1;8;1.100;83;4.713.111;34.277;454.276;10;8;8;138;1.100;37.704.889;
397;378;67.506.865/0001-03;CASA LUANDA SUPERMERCADOS LTDA.;SP;36.900.000;1;9;1.000;130;4.100.000;36.900;283.846;14;13;9;111;1.000;36.900.000;
398;387;10.968.067/0002-59;2M GESTÃO E PARTICIPAÇÕES SOCIETÁRIAS LTDA.;SP;36.712.000;1;8;1.470;90;4.589.000;24.974;407.911;11;6;8;184;1.470;36.712.000;
399;404;88.618.921/0002-44;COOP. AGRÍCOLA MISTA RIO BRANCO LTDA.;RS;36.034.811;2;13;1.400;86;2.771.909;25.739;419.009;7;6;7;108;700;18.017.406;
400;363;46.580.221/0001-87;SUPERMERCADO DEFAVARI LTDA.;SP;36.000.000;1;12;1.600;120;3.000.000;22.500;300.000;10;8;12;133;1.600;36.000.000;
401;393;03.655.191/0001-18;SUPERMERCADO FARIA DE ITAPECERICA LTDA.;MG;36.000.000;2;13;2.000;142;2.769.231;18.000;253.521;11;7;7;154;1.000;18.000.000;
402;336;11.375.476/0002-04;REI DO ALHO COMÉRCIO DE ALIMENTOS - EIRELI - EPP.;PA;36.000.000;2;14;200;110;2.571.429;180.000;327.273;8;55;7;14;100;18.000.000;
403;488;01.941.967/0001-30;MARILUCE FERREIRA BARBOSA VIANA - EPP.;SP;36.000.000;2;20;3.500;70;1.800.000;10.286;514.286;4;2;10;175;1.750;18.000.000;
404;437;17.462.835/0001-66;COMERCIAL DE ALIMENTOS CAVALCANTE LTDA. - EPP.;MT;36.000.000;3;17;1.400;150;2.117.647;25.714;240.000;9;11;6;82;467;12.000.000;
405;390;86.512.647/0001-18;COOPERATIVA REGIONAL AGROPECUÁRIA SUL CATARINENSE.;SC;35.801.333;2;15;2.200;100;2.386.756;16.273;358.013;7;5;8;147;1.100;17.900.667;
406;novo;07.383.500/0001-07;SUPERMERCADO SANTA PAULINA LTDA.;MG;35.449.000;3;18;2.200;119;1.969.389;16.113;297.891;7;5;6;122;733;11.816.333;
407;388;00.264.478/0001-29;MAZA BOX MERCADO LTDA.;RJ;34.843.499;1;12;850;111;2.903.625;40.992;313.905;9;13;12;71;850;34.843.499;
408;389;08.204.261/0001-35;SHOW MERCANTIL LTDA.;ES;34.682.443;2;18;1.650;90;1.926.802;21.020;385.360;5;5;9;92;825;17.341.222;
409;377;08.032.172/0001-59;TAVARES E PESSOA LTDA.;AL;34.469.613;1;18;4.900;96;1.914.979;7.035;359.058;5;2;18;272;4.900;34.469.613;
410;418;04.711.892/0001-90;PAEZE ALIMENTOS - EIRELI.;GO;34.230.249;3;17;1.380;139;2.013.544;24.805;246.261;8;10;6;81;460;11.410.083;
411;413;81.354.417/0001-54;ERVIN BRONGIEL & CIA. LTDA.;PR;34.000.000;2;20;3.000;100;1.700.000;11.333;340.000;5;3;10;150;1.500;17.000.000;
412;458;10.172.770/0001-75;SUPERMERCADO M.S.B. - EIRELI - ME.;CE;33.820.904;1;12;1.000;127;2.818.409;33.821;266.306;11;13;12;83;1.000;33.820.904;
413;400;42.089.011/0001-30;WANUSA SOUZA SANTOS.;BA;33.483.562;1;12;950;48;2.790.297;35.246;697.574;4;5;12;79;950;33.483.562;
414;415;76.879.295/0003-41;COOP. DE ELETRIF. E DESENV. ECONOMICO DE MAL. CDO. RONDON.;PR;33.015.480;1;11;1.300;92;3.001.407;25.397;358.864;8;7;11;118;1.300;33.015.480;
415;410;75.218.370/0001-07;SUPERMERCADO BAZA LTDA.;PR;32.702.024;3;18;2.000;120;1.816.779;16.351;272.517;7;6;6;111;667;10.900.675;
416;412;47.658.299/0001-30;SUPERMERCADOS BANDEIRA LTDA.;SP;32.687.170;1;9;1.050;81;3.631.908;31.131;403.545;9;8;9;117;1.050;32.687.170;
417;novo;92.013.622/0001-72;"
COMERCIAL DI DOMENICO LTDA.";RS;32.619.000;3;17;2.000;95;1.918.765;16.310;343.358;6;5;6;118;667;10.873.000;
418;466;97.757.058/0001-16;SUPERMERCADO LANZ LTDA.;RS;32.353.014;4;19;2.800;96;1.702.790;11.555;337.011;5;3;5;147;700;8.088.254;
419;445;07.034.862/0001-84;MERCADO PAOLAZZI LTDA.;RS;32.279.999;1;10;600;85;3.228.000;53.800;379.765;9;14;10;60;600;32.279.999;
420;489;09.437.629/0001-78;SUPERMERCADO GIRASSOL LTDA.;SC;32.169.401;3;19;3.000;130;1.693.126;10.723;247.457;7;4;6;158;1.000;10.723.134;
421;455;45.336.336/0001-68;ÉLZIO CARLOS DOS SANTOS.;SP;32.126.821;1;10;1.050;68;3.212.682;30.597;472.453;7;6;10;105;1.050;32.126.821;
422;487;06.088.542/0001-44;V.T. PARANÁ SUPERMERCADO LTDA.;MS;31.000.000;1;7;1.000;90;4.428.571;31.000;344.444;13;9;7;143;1.000;31.000.000;
423;399;26.734.300/0001-98;E.P.R. & DGN SUPERMERCADO LTDA.;SP;31.000.000;4;21;2.400;120;1.476.190;12.917;258.333;6;5;5;114;600;7.750.000;
424;435;24.332.484/0001-34;V.M. DA CRUZ SUPERMERCADO LTDA.;PE;30.800.000;1;7;420;40;4.400.000;73.333;770.000;6;10;7;60;420;30.800.000;
425;493;94.564.796/0001-59;SUPERMERCADO MAGGI BORGES LTDA.;RS;30.747.946;3;22;2.600;126;1.397.634;11.826;244.031;6;5;7;118;867;10.249.315;
426;416;00.380.937/0001-30;SUPERMERCADO NELSINHO LTDA.;SP;30.620.749;1;10;800;80;3.062.075;38.276;382.759;8;10;10;80;800;30.620.749;
427;552;35.988.013/0001-03;SUPERMERCADO PAMI LTDA.;ES;26.161.599;2;16;1.950;59;1.635.100;13.416;443.417;4;3;8;122;975;13.080.800;
428;612;27.774.708/0001-56;A.C.F. COMÉRCIO DE ALIMENTOS LTDA.;RS;30.000.000;2;15;2.000;100;2.000.000;15.000;300.000;7;5;8;133;1.000;15.000.000;
429;425;03.887.054/0001-09;MINIMERCADO SUPER NORTE LTDA. - ME.;SC;30.000.000;3;12;1.500;100;2.500.000;20.000;300.000;8;7;4;125;500;10.000.000;
430;621;01.889.596/0001-95;ALTO GIRO SUPERMERCADO LTDA.;SP;30.000.000;3;34;2.500;100;882.353;12.000;300.000;3;4;11;74;833;10.000.000;
431;428;11.000.923/0001-60;SUPERMERCADO MEZAEL LTDA.;CE;29.944.603;1;9;500;95;3.327.178;59.889;315.206;11;19;9;56;500;29.944.603;
432;443;02.312.694/0001-28;SUPERMERCADO NOVA COMERCIAL LTDA.;SP;29.881.000;1;8;900;61;3.735.125;33.201;489.852;8;7;8;113;900;29.881.000;
433;464;03.008.421/0001-57;SUPERMERCADO IRMÃOS PIANTA - EIRELI;SP;29.800.000;1;10;800;60;2.980.000;37.250;496.667;6;8;10;80;800;29.800.000;
434;422;39.011.572/0001-01;FIALHO & MOREIRA LTDA.;SP;29.576.311;2;12;1.190;93;2.464.693;24.854;318.025;8;8;6;99;595;14.788.156;
435;429;07.116.633/0002-90;SUPERMERCADO HINGHAUS LTDA.;SC;29.100.000;2;10;1.100;58;2.910.000;26.455;501.724;6;5;5;110;550;14.550.000;
436;449;00.417.331/0001-21;SUPER TCHÊ BARBARIDADE LTDA.;RS;29.000.000;2;11;1.100;85;2.636.364;26.364;341.176;8;8;6;100;550;14.500.000;
437;864;10.490.881/0001-20;SUPERMERCADO SUPRIBEM LTDA.;SP;28.953.828;2;11;800;100;2.632.166;36.192;289.538;9;13;6;73;400;14.476.914;
438;417;93.000.347/0001-15;MERCADO IRMÃOS SCHMITZ LTDA. - ME.;RS;28.881.472;3;11;1.200;55;2.625.588;24.068;525.118;5;5;4;109;400;9.627.157;
439;405;02.817.987/0001-67;COMERCIAL SÃO PATRÍCIO S.A.;DF;28.748.967;1;7;416;104;4.106.995;69.108;276.432;15;25;7;59;416;28.748.967;
440;450;70.097.068/0001-16;MERCADINHO MENOR PREÇO COMÉRCIO DE ALIMENTOS E BEBIDAS LTDA.;PB;28.664.842;1;7;530;105;4.094.977;54.085;272.998;15;20;7;76;530;28.664.842;
441;novo;34.187.202/0001-06;SUPER MERCADO QUALIBEM LTDA.;RS;28.500.000;6;41;3.530;211;695.122;8.074;135.071;5;6;7;86;588;4.750.000;
442;461;08.819.212/0001-07;SUPERMERCADO PORTAL EIRELI.;RS;28.347.346;1;6;500;65;4.724.558;56.695;436.113;11;13;6;83;500;28.347.346;
443;novo;01.478.717/0001-06;P.V. SUPERMERCADO LTDA.;AL;28.000.000;2;20;1.000;130;1.400.000;28.000;215.385;7;13;10;50;500;14.000.000;
444;423;72.395.981/0002-05;COMERCIAL DE ALIMENTOS KLOPPEL LTDA;SC;28.000.000;2;17;1.650;85;1.647.059;16.970;329.412;5;5;9;97;825;14.000.000;
445;433;00.723.249/0001-25;SUPER ZART LTDA.;RS;27.941.937;3;9;1.500;50;3.104.660;18.628;558.839;6;3;3;167;500;9.313.979;
446;484;18.151.092/0001-76;J. AURICCHIO & CIA. LTDA.;MG;27.767.384;3;20;1.530;90;1.388.369;18.149;308.526;5;6;7;77;510;9.255.795;
447;476;17.622.342/0001-46;SUPERMERCADO DIEHL - EIRELI.;RS;27.000.747;2;14;1.400;96;1.928.625;19.286;281.258;7;7;7;100;700;13.500.374;
448;439;03.203.573/0001-00;SUPERMERCADO SHIKI LTDA.;PR;27.000.000;1;9;1.000;89;3.000.000;27.000;303.371;10;9;9;111;1.000;27.000.000;
449;441;07.078.250/0001-93;SUPERMERCADO VIDA NOVA - EIRELI.;PB;26.897.554;3;11;1.190;56;2.445.232;22.603;480.313;5;5;4;108;397;8.965.851;
450;453;06.980.538/0001-96;COMERCIAL NOVO DE ALIMENTOS LTDA.;RS;26.400.323;2;12;1.400;80;2.200.027;18.857;330.004;7;6;6;117;700;13.200.162;
451;462;92.762.343/0001-01;COMERCIAL BOM DE ALIMENTOS LTDA.;RS;26.209.422;1;6;1.750;35;4.368.237;14.977;748.841;6;2;6;292;1.750;26.209.422;
452;457;12.271.092/0001-23;VITÓRIA REAL SUPERMERCADOS LTDA.;CE;26.142.727;1;8;1.280;53;3.267.841;20.424;493.259;7;4;8;160;1.280;26.142.727;
453;430;04.797.826/0001-84;COMERCIAL DE ALIMENTOS MG LTDA.;BA;26.000.000;1;10;740;92;2.600.000;35.135;282.609;9;12;10;74;740;26.000.000;
454;438;07.647.329/0001-98;A.S.G. SUPERMERCADO LTDA.;MS;25.740.299;1;9;952;60;2.860.033;27.038;429.005;7;6;9;106;952;25.740.299;
455;446;22.229.447/0001-70;COMERCIAL JOÃO OLINTO ALVES FILHO LTDA.;MG;25.674.284;1;8;780;70;3.209.286;32.916;366.775;9;9;8;98;780;25.674.284;
456;448;09.202.463/0002-91;HIPERMERCADO MACOL LTDA. - EPP.;MG;25.668.923;2;11;2.100;85;2.333.538;12.223;301.987;8;4;6;191;1.050;12.834.462;
457;479;02.496.798/0001-30;A.S. AGUIAR E CIA. LTDA.;RO;25.667.327;2;13;1.350;107;1.974.410;19.013;239.882;8;8;7;104;675;12.833.664;
458;novo;47.663.349/0001-77;MERCADO COQUEIRO LTDA.;SP;25.644.109;2;10;700;100;2.564.411;36.634;256.441;10;14;5;70;350;12.822.055;
459;500;01.383.845/0001-76;MARIA SCHU HANSEN E CIA. LTDA. - ME.;RS;25.615.894;1;7;500;50;3.659.413;51.232;512.318;7;10;7;71;500;25.615.894;
460;475;04.804.897/0001-67;JOSELITA COMÉRCIO VAREJISTA DE ALIMENTOS LTDA.;PB;25.557.103;1;10;1.150;47;2.555.710;22.224;543.768;5;4;10;115;1.150;25.557.103;
461;485;94.820.586/0001-84;COMERCIAL DE GÊNEROS ALIMENTÍCIOS BUSATTO LTDA.;RS;25.330.123;2;10;1.200;85;2.533.012;21.108;298.001;9;7;5;120;600;12.665.062;
462;447;89.885.214/0001-04;FEPESE SUPERMERCADO LTDA.;RS;25.000.000;1;8;1.000;75;3.125.000;25.000;333.333;9;8;8;125;1.000;25.000.000;
463;442;06.987.041/0001-08;L.M.C. CAMELI.;AC;25.000.000;4;10;4.300;220;2.500.000;5.814;113.636;22;5;3;430;1.075;6.250.000;
464;440;66.903.360/0003-73;CIZOTTO DONAIRE & CIA. LTDA.;SP;24.887.000;2;13;900;80;1.914.385;27.652;311.088;6;9;7;69;450;12.443.500;
465;459;03.760.894/0001-06;SUPERMERCADO COMPRE FÁCIL LTDA.;SC;24.810.235;1;7;450;59;3.544.319;55.134;420.512;8;13;7;64;450;24.810.235;
466;474;02.258.599/0001-93;CALIZA SUPERMERCADOS LTDA.;RS;24.750.000;2;8;1.350;85;3.093.750;18.333;291.176;11;6;4;169;675;12.375.000;
467;469;32.935.181/0001-34;LIMA E COLARINO LTDA.;MT;24.515.188;1;8;1.100;60;3.064.399;22.287;408.586;8;5;8;138;1.100;24.515.188;
468;456;02.447.928/0005-78;COOPERATIVA AGROPECUÁRIA MISTA DE PIRACANJUBA.;GO;24.400.000;1;7;800;65;3.485.714;30.500;375.385;9;8;7;114;800;24.400.000;
469;470;51.894.921/0001-86;BUISSA BUISSA & CIA. LTDA.;SP;24.206.316;3;14;1.380;56;1.729.023;17.541;432.256;4;4;5;99;460;8.068.772;
470;novo;20.424.467/0001-76;REI DA ECONOMIA COM. VAR. DE ALIMENTOS - EIRELI. ;PB;24.073.449;1;8;567;52;3.009.181;42.458;462.951;7;9;8;71;567;24.073.449;
471;463;02.529.740/0001-45;FRANCISCO DE ASSIS FERREIRA SOROCABA.;SP;24.000.000;1;8;1.100;50;3.000.000;21.818;480.000;6;5;8;138;1.100;24.000.000;
472;481;46.787.008/0001-40;SUPERMERCADO PIRÂMIDE LTDA.;SP;23.813.452;1;8;1.020;62;2.976.682;23.347;384.088;8;6;8;128;1.020;23.813.452;
473;468;10.973.069/0001-55;MEGA DIAS SUPERMERCADOS LTDA.;SP;23.706.658;1;8;380;62;2.963.332;62.386;382.365;8;16;8;48;380;23.706.658;
474;515;01.511.395/0001-50;FARIA SUPERMERCADO JABOTICABAL LTDA.;SP;23.509.988;1;6;700;57;3.918.331;33.586;412.456;10;8;6;117;700;23.509.988;
